ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeTracked,Task,Order,Stimulus,SearchOrCount
cass1,1,74,20924,20954,32,1434.4,484.5,1220.6,500.29999999999995,237.58,132.88,FALSE,LEFT,4.34,RIGHT,Visual foraging,1,sheep.jpg,Search
cass1,2,1,152,204,54,1218.3,488.1,738.5,481.29999999999995,419.15,195.9,FALSE,LEFT,9.89,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,2,484,518,36,717.1,478.29999999999995,841,481.79999999999995,255.52,109.43,FALSE,RIGHT,2.58,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,3,700,830,132,857.2,466.70000000000005,857.8,545.3,1102.87,463.3,TRUE,UP,1.99,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,4,1006,1026,22,856.8,557,824.4,501.9,130.14,72.18,FALSE,DOWN,1.56,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,5,1474,1504,32,840.2,505.20000000000005,1028.2,276.1,439.28,216.49,FALSE,DOWN,6.83,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,6,1738,1758,22,1012,258.29999999999995,936.8,194.79999999999995,165.65,92.64,FALSE,LEFT,2.13,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,7,1934,1980,48,948.9,197.70000000000005,890.3,434.5,363.09,143.44,FALSE,UP,5.84,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,8,2242,2260,20,900.5,450.6,843.8,482.5,104.22,66.27,FALSE,LEFT,1.43,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,9,2770,2814,46,830.2,475,1096.1,695.6,313.5,185.19,FALSE,UP,7.93,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,10,2952,2978,28,1085.2,685.5,1138.5,788.9,206.73,106.66,FALSE,UP,2.92,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,11,3192,3240,50,1128.2,775.5,826.6,602.3,448.75,171.95,FALSE,LEFT,7.78,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,12,3410,3452,44,816.6,591.1,581.2,362.79999999999995,432.13,173.27,FALSE,DOWN,7.52,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,13,3906,3922,18,579.2,351.20000000000005,558.5,317.70000000000005,73.29,50.12,FALSE,DOWN,0.92,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,14,4100,4126,28,560,321.70000000000005,740.3,291.6,259.7,129,FALSE,RIGHT,3.73,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,15,4308,4314,8,720.2,282.6,708.9,274.9,40.12,35.45,FALSE,NA,0.29,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,16,4602,4628,28,708.2,259.79999999999995,577.4,297.1,174.13,98.81,FALSE,LEFT,2.79,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,17,4806,4816,12,577.2,292,555.7,312.1,58.8,48.66,FALSE,UP,0.65,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,18,5054,5084,32,553.2,313,804.7,96.89999999999998,446.53,226.33,FALSE,DOWN,7.13,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,19,5274,5294,22,802.2,73.70000000000005,852.1,65.10000000000002,95.59,53.23,FALSE,RIGHT,1,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,20,5452,5486,36,846.4,58.700000000000045,640.9,189.70000000000005,271.47,139.67,FALSE,LEFT,5.05,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,21,5684,5832,150,631.9,178.10000000000002,478,123.5,1018.92,361.72,TRUE,LEFT,3.29,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,22,5986,6006,22,494.7,93.20000000000005,532.7,90.79999999999995,85.28,47.62,FALSE,RIGHT,0.74,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,23,6104,6154,52,533.2,92.39999999999998,976.5,147.60000000000002,467.58,192.87,FALSE,RIGHT,8.83,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,24,6322,6340,20,986.7,164,928.5,141.39999999999998,95.36,58.75,FALSE,LEFT,1.27,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,25,6848,6902,56,926.2,149,1114.7,453.20000000000005,372.88,174.43,FALSE,UP,8.23,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,26,7234,7272,40,1112.8,476,822.9,644.2,343.09,187.62,FALSE,LEFT,7.42,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,27,7486,7506,22,823.3,629.2,791.1,681,112.62,64.69,FALSE,UP,1.51,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,28,7710,7734,26,799.1,664.8,866.1,572.4,187.25,106.74,FALSE,DOWN,2.77,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,29,7908,7928,22,859,580.5,796.5,503.70000000000005,177.87,100.87,FALSE,DOWN,2.36,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,30,8118,8162,46,814.9,521.3,989.2,758.3,491.28,191.82,FALSE,UP,7.13,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,31,8602,8636,36,979.9,760.8,1081.5,803.4,223.1,100.59,FALSE,RIGHT,2.43,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,32,8900,8944,46,1100.4,792.6,838.1,729.4,352.15,139.66,FALSE,LEFT,5.81,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,33,9128,9144,18,828.3,715.3,805.6,675.8,92.73,62.91,FALSE,DOWN,1.14,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,34,9526,9548,24,801.1,668.8,774.3,570.5,203.68,107.34,FALSE,DOWN,2.6,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,35,9776,9808,34,783.3,568.6,786.8,485.70000000000005,210.05,94.48,FALSE,DOWN,2.11,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,36,9942,9984,44,795.2,473.4,340.3,519.5,416.75,213.14,FALSE,LEFT,9.41,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,37,10308,10328,22,335.1,518.3,305,493.4,86.68,46.16,FALSE,DOWN,0.87,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,38,10474,10524,52,309.2,499.29999999999995,227.6,859.4,432.93,198.24,FALSE,UP,9.28,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,39,10988,11016,30,232.3,862,383.9,1000.5,308.17,158.79,FALSE,UP,4.77,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,40,11242,11258,18,384.7,988.4,332.4,1004.2,90.9,60.63,FALSE,LEFT,1.16,RIGHT,Visual foraging,1,flower.jpg,Search
cass1,2,41,11678,11742,66,335.3,1007.6,1124.8,717.8,605.3,296.9,FALSE,RIGHT,18.12,RIGHT,Visual foraging,1,flower.jpg,Search
